"k2","k5","k10"
118641.350689338,117137.276597803,116802.04063154
117736.83796667,124598.808777126,119307.334488813
130050.375129484,118838.491933057,114857.541101546
124384.240672868,118896.978483003,118371.007422242
121410.597965349,117890.569235995,118254.990650337
128936.044222851,122490.225641073,115831.617349261
111905.930935791,121159.412376891,121031.085043159
125204.041321082,124409.534640349,121063.127227073
125531.610914944,125623.159715061,116795.350878699
127496.543031971,116999.584445942,123694.790815966
123248.842153676,116711.197096355,120219.100462934
121603.646276703,113267.050855633,118677.51113221
126709.236768991,121566.794627241,120152.783568401
122724.727057422,117773.753575283,115161.389285791
127165.588779098,116280.227059867,113373.712225817
133513.927611342,115839.064961336,122294.198199372
131718.047768456,120215.12810073,120806.357755107
126102.202315499,118848.453432614,115114.711784805
127419.196449656,124183.021354591,116224.787270633
116991.311680218,120918.350373051,121514.184766542
133368.56295476,121182.419383456,116075.125687988
140277.63919483,119821.681982848,117451.402619714
125695.464495964,121706.933628648,116792.198120248
125737.275809302,118301.930505991,116655.20173795
132915.72423844,123766.459212874,118625.658164188
119759.572142506,117757.447355925,119929.035310558
135003.401649126,121720.078848731,114658.635001063
119153.681659164,120819.427175543,117462.551698327
119084.85722656,119572.968075465,119421.370725347
133211.256610521,117259.012648401,118108.238090621
